ingredient,fdc_id,description,data_type,calories,protein_g,fat_g,carbs_g,search_term,match_quality
Quail,172191,"Egg, quail, whole, fresh, raw",sr_legacy_food,158.0,13.05,11.09,0.41,quail,exact
Goose breast,173634,"Canada Goose, breast meat only, skinless, raw",sr_legacy_food,133.0,24.31,4.02,0.0,goose,partial
Goose liver,171100,"Pate de foie gras, canned (goose liver pate), smoked",sr_legacy_food,462.0,11.4,43.84,4.67,goose liver,exact
Cornish hen,2681582,"Tyson Uncooked Cornish Hens, 24 Pieces, 28.5 Lb.",branded_food,178.0,16.94,12.3,0.0,cornish hen,exact
Pheasant,174474,"Pheasant, breast, meat only, raw",sr_legacy_food,133.0,24.37,3.25,0.0,pheasant,exact
Guinea fowl,172416,"Guinea hen, meat and skin, raw",sr_legacy_food,158.0,23.4,6.45,0.0,guinea,partial
Emu meat,168491,"Chrysanthemum leaves, raw",sr_legacy_food,24.0,3.36,0.56,3.01,emu,partial
Beef ribeye,2642768,100% GRASS FED ANGUS BEEF RIBEYE STEAK,branded_food,252.0,18.75,19.64,0.0,beef ribeye,exact
Beef sirloin,908616,100% GRASS FED ORGANIC BEEF SIRLOIN STEAK,branded_food,205.0,20.54,12.5,0.0,beef sirloin,exact
Beef tenderloin,2411625,100% GRASS FED ANGUS BEEF TENDERLOIN STEAK,branded_food,125.0,20.54,5.36,0.0,beef tenderloin,exact
Beef brisket,2194195,"100% BEEF BRISKET BURGERS, 100% BEEF",branded_food,253.0,17.33,20.0,0.0,beef brisket,exact
Beef chuck,972401,"100% ANGUS BEEF CHUCK BURGER, ANGUS BEEF",branded_food,285.0,17.22,23.18,0.66,beef chuck,exact
Beef short ribs,761738,BEEF SHORT RIBS,branded_food,179.0,19.64,10.71,0.0,beef short ribs,exact
Beef flank,2411622,100% GRASS FED ANGUS BEEF FLANKEN-STYLE SHORT RIBS,branded_food,295.0,16.07,25.89,0.0,beef flank,exact
Beef shank,171730,"Beef, Australian, imported, Wagyu, external fat, Aust. marble score 4/5, raw",sr_legacy_food,596.0,6.54,63.27,0.0,beef,partial
Beef oxtail,761860,BEEF OXTAILS CUT,branded_food,250.0,18.75,18.75,0.0,beef oxtail,exact
Beef tongue,171730,"Beef, Australian, imported, Wagyu, external fat, Aust. marble score 4/5, raw",sr_legacy_food,596.0,6.54,63.27,0.0,beef,partial
Beef tripe,2552942,"BEEF TRIPE WITH MILK, BEEF WITH MILK",branded_food,106.0,23.53,1.18,0.0,beef tripe,exact
Ground beef,2630481,75% LEAN/25% FAT UNCOOKED SEASONED GROUND BEEF PATTIES,branded_food,304.0,16.96,25.0,0.89,ground beef,exact
Beef liver,1829638,100% GRASS FED BEEF LIVER,branded_food,134.0,20.54,3.57,3.57,beef liver,exact
Beef kidney,171730,"Beef, Australian, imported, Wagyu, external fat, Aust. marble score 4/5, raw",sr_legacy_food,596.0,6.54,63.27,0.0,beef,partial
Beef heart,2022067,"BEEF HEARTY SOUP WITH COUNTRY VEGETABLES, BEEF WITH COUNTRY VEGETABLES",branded_food,49.0,2.86,1.22,6.94,beef heart,exact
Beef fat,2552218,"BEEF FAT FREE BROTH, BEEF",branded_food,4.0,0.83,0.0,0.0,beef fat,exact
Beef marrow bone,2630491,GRASS FED BEEF MARROW BONES,branded_food,301.0,30.09,19.47,0.0,beef marrow bone,exact
Beef stew meat,2411621,100% GRASS FED ANGUS BEEF STEW MEAT,branded_food,116.0,21.43,2.23,0.0,beef stew meat,exact
Beef jerky,2377280,"ORIGINAL BEEF JERKY SLOW COOKED AND HARDWOOD SMOKED FRESH-LOCK ZIPPER, ORIGINAL BEEF JERKY",branded_food,250.0,46.43,7.14,0.0,beef jerky,exact
Corned beef,170199,"Beef, cured, corned beef, brisket, raw",sr_legacy_food,198.0,14.68,14.9,0.14,corned beef,exact
Roast beef,2615758,DELI FRESH SLOW ROASTED ROAST BEEF SLICED LUNCH MEAT,branded_food,121.0,17.24,4.31,1.72,roast beef,exact
Beef sausage,2706171,Beef sausage,survey_fndds_food,341.0,13.3,28.7,3.37,beef sausage,exact
Beef patty,2701404,AdvancePierre Red Label Raw Breaded Naturally Shaped Western Style Beef Patty Fritters,branded_food,220.0,12.24,10.57,19.81,beef patty,exact
Beef burger,1978246,"FRESH ANGUS GROUND BEEF BURGERS, BEEF",branded_food,293.0,16.0,25.33,0.0,beef burger,exact
Beef hot dog,1408302,"UNCURED BEEF HOT DOG IN PUFF PASTRY TOPPED WITH A BEND OF PARMESAN CHEESE, SESAME, POPPY & CARAWAY SEEDS, PARMESAN CHEESE",branded_food,311.0,9.46,22.97,20.27,beef hot dog,exact
Pork belly,1146327,2.67 OZ PORK BELLY SLIDER,branded_food,276.0,23.68,25.0,0.0,pork belly,exact
Pork loin,168320,"HORMEL ALWAYS TENDER, Boneless Pork Loin, Fresh Pork",sr_legacy_food,145.0,19.02,7.18,0.76,pork loin,exact
Pork shoulder,1609801,FRESH PORK SHOULDER BRISKET,branded_food,116.0,19.64,4.46,0.0,pork shoulder,exact
Pork ribs,597796,BABY BACK FULLY COOKED PORK RIBS WITH BARBECUE SAUCE,branded_food,229.0,14.29,14.29,10.71,pork ribs,exact
Pork tenderloin,765056,Boneless Fresh Pork Tenderloins,branded_food,125.0,20.54,3.57,0.0,pork tenderloin,exact
Pork chop,1836494,"2 BARBEQUE SEASONED PORK CHOPS MARINATED WITH UP TO 12% ADDED SOLUTION OF PORK BROTH, DRIED VINEGAR, CULTURED DEXTROSE, SEASONING, SALT, FLAVORING RUBBED WITH SEASONING, 2 BARBEQUE SEASONED PORK CHOPS",branded_food,155.0,17.13,6.08,8.29,pork chop,exact
Pork ham,1759005,Bone In Pork Ham,branded_food,223.0,15.18,16.96,0.0,pork ham,exact
Pork bacon,2705887,"Pork bacon, NS as to fresh, smoked or cured, cooked",survey_fndds_food,484.0,37.41,35.8,1.9,pork bacon,exact
Pork sausage,536337,8 FRESH PORK SAUSAGE PATTIES,branded_food,359.0,18.75,31.25,1.56,pork sausage,exact
Pork salami,372097,"ALMIRANTE, SMOKED COOKED CHICKEN AND PORK SALAMI",branded_food,214.0,14.29,17.86,3.57,pork salami,exact
Ground pork,2616295,80% LEAN 20% FAT FRESH GROUND PORK,branded_food,224.0,25.88,14.12,0.0,ground pork,exact
Pork liver,1205081,FRENCH STYLE PORK LIVER CONFIT WITH HERBS OF PROVENCE,branded_food,316.0,15.56,27.78,0.78,pork liver,exact
Pork kidney,171619,"Bockwurst, pork, veal, raw",sr_legacy_food,301.0,14.03,25.87,2.95,pork,partial
Pork ear,2192225,"OREJITAS SEASONED PORK EARS, OREJITAS",branded_food,107.0,14.29,5.36,0.0,pork ear,exact
Pork feet,2593562,CURED PORK FEET,branded_food,202.0,16.67,14.29,0.0,pork feet,exact
Pork skin,168851,"Snacks, pork skins, barbecue-flavor",sr_legacy_food,538.0,57.9,31.8,1.6,pork skin,exact
Pork fatback,2495424,"LIGHTLY SEASONED PORK FATBACK CURLS WITH RED PEPPER, RED PEPPER",branded_food,571.0,57.14,32.14,7.14,pork fatback,exact
Pork jowl,2617307,"BLACK-EYE PEAS WITH PORK JOWL, BLACK-EYE",branded_food,200.0,10.0,6.92,25.38,pork jowl,exact
Pork blood,171619,"Bockwurst, pork, veal, raw",sr_legacy_food,301.0,14.03,25.87,2.95,pork,partial
Pork ribs tips,171619,"Bockwurst, pork, veal, raw",sr_legacy_food,301.0,14.03,25.87,2.95,pork,partial
Pork cutlet,171619,"Bockwurst, pork, veal, raw",sr_legacy_food,301.0,14.03,25.87,2.95,pork,partial
Pork schnitzel,171619,"Bockwurst, pork, veal, raw",sr_legacy_food,301.0,14.03,25.87,2.95,pork,partial
Cured pork,1543180,"APPLEWOOD DRY RUBBED UNCURED PORK BACON, APPLEWOOD DRY RUBBED",branded_food,500.0,35.0,40.0,0.0,cured pork,exact
Pulled pork,173344,Pulled pork in barbecue sauce,sr_legacy_food,168.0,13.19,4.42,18.74,pulled pork,exact
Pork hot dog,1709852,"BEEF & PORK HOT DOGS, BEEF & PORK",branded_food,280.0,12.0,26.0,4.0,pork hot dog,exact
Salmon fillet,2473684,"CREOLE SEASONED PREMIUM RAW, SKINLESS, BONELESS SALMON FILLETS, CREOLE SEASONED",branded_food,217.0,20.0,13.33,2.5,salmon fillet,exact
Salmon steak,1654466,ATLANTIC SALMON STEAKHOUSE,branded_food,246.0,17.61,19.01,2.11,salmon steak,exact
Salmon belly,168046,"Fish, Salmon, Chum, raw (Alaska Native)",sr_legacy_food,116.0,20.69,3.67,0.0,salmon,partial
Tuna steak,2473675,"LEMON DIJON SEASONED PREMIUM RAW, SKINLESS, BONELESS TUNA STEAKS, LEMON DIJON SEASONED",branded_food,125.0,23.33,0.83,3.33,tuna steak,exact
Tuna flakes,400178,LIGHT TUNA FLAKES IN VEGETABLE OIL,branded_food,273.0,20.0,1.82,45.45,tuna flakes,exact
Cod fillet,1905300,RAW WILD CAUGHT ALASKAN SKINLESS BONELESS COD FILLETS,branded_food,80.0,17.7,0.44,0.0,cod fillet,exact
Mackerel fillet,2069270,ANDALUSIAN MACKEREL FILLETS IN OLIVE OIL,branded_food,189.0,25.0,10.71,0.0,mackerel fillet,exact
Sardine,173578,"Fish oil, sardine",sr_legacy_food,902.0,0.0,100.0,0.0,sardine,exact
Anchovy,174182,"Fish, anchovy, european, raw",sr_legacy_food,131.0,20.35,4.84,0.0,anchovy,exact
Herring,175116,"Fish, herring, Atlantic, raw",sr_legacy_food,158.0,17.96,9.04,0.0,herring,exact
Tilapia fillet,2284372,FRESH TILAPIA FILLETS,branded_food,97.0,20.35,1.77,0.0,tilapia fillet,exact
Catfish fillet,1167775,3/5 OZ CATFISH FILLET,branded_food,142.0,15.04,8.85,0.0,catfish fillet,exact
Shrimp,174210,"Crustaceans, shrimp, mixed species, raw (may contain additives to retain moisture)",sr_legacy_food,71.0,13.61,1.01,0.91,shrimp,exact
Prawn,168023,"Fish, salmon, tipnuk, fermented (Alaska Native)",sr_legacy_food,159.0,15.9,10.6,0.0,pn,exact
Crab meat,549874,FRESH CRAB MEAT,branded_food,106.0,23.53,1.18,0.0,crab meat,exact
Lobster tail,2602288,COLD WATER RAW WILD CAUGHT LOBSTER TAILS,branded_food,70.0,15.79,0.0,0.0,lobster tail,exact
Squid,174223,"Mollusks, squid, mixed species, raw",sr_legacy_food,92.0,15.58,1.38,3.08,squid,exact
Octopus,174218,"Mollusks, octopus, common, raw",sr_legacy_food,82.0,14.91,1.04,2.2,octopus,exact
Clam,174214,"Mollusks, clam, mixed species, raw",sr_legacy_food,86.0,14.67,0.96,3.57,clam,exact
Mussel,174216,"Mollusks, mussel, blue, raw",sr_legacy_food,86.0,11.9,2.24,3.69,mussel,exact
Oyster,174735,"Beef, New Zealand, imported, oyster blade, separable lean and fat, raw",sr_legacy_food,178.0,21.27,10.31,0.0,oyster,exact
Scallop,174220,"Mollusks, scallop, mixed species, raw",sr_legacy_food,69.0,12.06,0.49,3.18,scallop,exact
Eel,169225,"Cucumber, peeled, raw",sr_legacy_food,10.0,0.59,0.16,2.16,eel,exact
Trout fillet,2464030,ANDEAN RAINBOW TROUT FILLETS,branded_food,107.0,14.29,5.36,0.0,trout fillet,exact
Snapper fillet,1168131,1/3 LB CO SNAPPER FILLET,branded_food,97.0,20.35,1.33,0.27,snapper fillet,exact
Sole fillet,1022147,FRESH WILD DOVER SOLE FILLETS,branded_food,90.0,4.69,0.27,0.0,sole fillet,exact
Flounder fillet,1459238,10/UP OZ FLOUNDER FILLETS,branded_food,62.0,12.39,1.77,0.0,flounder fillet,exact
Halibut fillet,2625073,"ALASKA SKINLESS, BONELESS HALIBUT FILLET, ALASKA",branded_food,91.0,18.69,1.26,0.0,halibut fillet,exact
Swordfish steak,438099,"RAW SEAFOODS, WILD CAUGHT SWORDFISH STEAKS",branded_food,142.0,19.47,7.08,0.0,swordfish steak,exact
Sea bass,175142,"Fish, sea bass, mixed species, raw",sr_legacy_food,97.0,18.43,2.0,0.0,sea bass,exact
Grouper,171962,"Fish, grouper, mixed species, raw",sr_legacy_food,92.0,19.38,1.02,0.0,grouper,exact
Cuttlefish,174215,"Mollusks, cuttlefish, mixed species, raw",sr_legacy_food,79.0,16.24,0.7,0.82,cuttlefish,exact
Sea cucumber,167618,"Sea cucumber, yane (Alaska Native)",sr_legacy_food,56.0,13.0,0.4,0.0,sea cucumber,exact
Abalone,174212,"Mollusks, abalone, mixed species, raw",sr_legacy_food,105.0,17.1,0.76,6.01,abalone,exact
Whelk,171983,"Mollusks, whelk, unspecified, raw",sr_legacy_food,137.0,23.84,0.4,7.76,whelk,exact
Conch,1459128,RAW CONCH FRITTER MIX,branded_food,165.0,12.94,2.94,22.35,conch,exact
Crayfish,175169,"Crustaceans, crayfish, mixed species, farmed, raw",sr_legacy_food,72.0,14.85,0.97,0.0,crayfish,exact
King crab leg,765114,12/14 KING CRAB LEGS RED,branded_food,95.0,19.05,1.79,0.0,king crab leg,exact
Blue crab,1244103,"ATLANTIC SHORES, THE BLUE CRAB LUMP CRABMEAT",branded_food,88.0,17.7,1.77,0.0,blue crab,exact
Canned tuna,168582,"Mushrooms, straw, canned, drained solids",sr_legacy_food,32.0,3.83,0.68,4.64,canned,partial
Canned sardine,2623639,CANNED SARDINE,branded_food,170.0,15.0,6.0,15.0,canned sardine,exact
Fish ball,507767,CUTTLEFISH BALLS,branded_food,176.0,17.65,5.88,11.76,fish ball,exact
Fish cake,2068765,CAJUN-SPICED CRAWFISH CAKES,branded_food,165.0,8.24,10.59,10.59,fish cake,exact
Imitation crab stick,2303045,"HOT AND CRUNCHY COOKED IMITATION CRAB STICK, CUCUMBER AND AVOCADO ROLLED IN SEAWEES AND SUSHI RICE, TOPPED WITH IMITATION CRAB SALAD, TEMPURA STYLE CRURCHES AND SERVED WITH YUMMI SPICY MAYO AND SRIRACHA HOT CHILL SAUCE ROLL, HOT AND CRUNCHY",branded_food,183.0,4.49,7.37,24.36,imitation crab stick,exact
Fish roe,1889708,"PACIFIC PLAZA IMPORTS, GOLDEN WHITEFISH ROE",branded_food,167.0,13.33,13.33,6.67,fish roe,exact
Seaweed,169280,"Seaweed, agar, raw",sr_legacy_food,26.0,0.54,0.03,6.75,seaweed,exact
Nori,1066887,"MEAT FREE TEMPURA BATTERED PRAWN-STYLE PIECES WITH CHOPPED NORI AND COATED IN A LEMON INFUSED BATTER, MEAT FREE TEMPURA BATTERED PRAWN-STYLE",branded_food,342.0,18.24,18.4,20.8,nori,exact
Kombu,560852,100% RAW KOMBUCHA,branded_food,12.0,0.0,0.0,3.33,kombu,exact
Wakame,170496,"Seaweed, wakame, raw",sr_legacy_food,45.0,3.03,0.64,9.14,wakame,exact
Dried anchovy,2182893,Badaone Dried Anchovy Medium 170g,branded_food,239.0,42.35,5.88,0.88,dried anchovy,exact
Cabbage,170390,"Cabbage, chinese (pak-choi), raw",sr_legacy_food,13.0,1.5,0.2,2.18,cabbage,exact
Chinese cabbage,1749666,"VEGETABLE LO MEIN NOODLES, CHINESE CABBAGE, BOK CHOY, CARROTS AND ONION IN STIR FRY SAUCE, VEGETABLE LO MEIN",branded_food,133.0,3.7,7.41,16.3,chinese cabbage,exact
Spinach,168438,"Mustard spinach, (tendergreen), raw",sr_legacy_food,22.0,2.2,0.3,3.9,spinach,exact
Lettuce,168429,"Lettuce, butterhead (includes boston and bibb types), raw",sr_legacy_food,13.0,1.35,0.22,2.23,lettuce,exact
Romaine lettuce,2709590,"Romaine lettuce, raw",survey_fndds_food,21.0,0.98,0.07,4.06,romaine lettuce,exact
Kale,168421,"Kale, raw",sr_legacy_food,35.0,2.92,1.49,4.42,kale,exact
Broccoli,170381,"Broccoli raab, raw",sr_legacy_food,22.0,3.17,0.49,2.85,broccoli,exact
Cauliflower,169389,"Cauliflower, green, raw",sr_legacy_food,31.0,2.95,0.3,6.09,cauliflower,exact
Carrot,168568,"Carrots, baby, raw",sr_legacy_food,35.0,0.64,0.13,8.24,carrot,exact
Beetroot,2655163,"ALMONDS, BEETROOT & CINNAMON FRUIT INFUSION TEA BAGS, ALMONDS, BEETROOT & CINNAMON",branded_food,4.0,0.0,0.0,0.83,beetroot,exact
Turnip,169818,"Prairie Turnips, raw (Northern Plains Indians)",sr_legacy_food,156.0,2.62,0.36,35.67,turnip,exact
Radish,170095,"Radish seeds, sprouted, raw",sr_legacy_food,43.0,3.81,2.53,3.6,radish,exact
Daikon,2073137,"BLACK PEARL A UNIQUE WHOLESOME BLEND OF WHOLE GRAIN BROWN RICE, BLACK BARLEY AND DAIKON RADISH SEEDS MEDLEY, BLACK PEARL",branded_food,356.0,13.33,1.11,73.33,daikon,exact
Onion,170000,"Onions, raw",sr_legacy_food,40.0,1.1,0.1,9.34,onion,exact
Red onion,2406851,"BRUSCHETTA-INSPIRED FARMERS' TOMATO PIE WITH HOMEMADE TOMATO SAUCE, FRESH PLUM TOMATOES, RED ONION, GARLIC, BASIL, PARSLEY, & BALSAMIC VINEGAR HANDMADE, WOOD-FIRED, THIN & CRISPY PIZZA, BRUSCHETTA-INSPIRED FARMERS' TOMATO PIE",branded_food,171.0,4.29,5.71,25.71,red onion,exact
Green onion,2576110,"BACKYARD BBQ FRESH BLEND OF ROMAINE LETTUCE, KALE, BROCCOLI, RED CABBAGE, SWEET CARROTS, GREEN ONIONS, AND SAVOY CABBAGE WITH RANCH DRESSING, BBQ SAUCE, CRISPY FRIED ONIONS AND BACON BITS CHOPPED SALAD KIT, BACKYARD BBQ",branded_food,140.0,3.0,9.0,11.0,green onion,exact
Leek,169246,"Leeks, (bulb and lower leaf-portion), raw",sr_legacy_food,61.0,1.5,0.3,14.15,leek,exact
Garlic,169230,"Garlic, raw",sr_legacy_food,149.0,6.36,0.5,33.06,garlic,exact
Ginger,169231,"Ginger root, raw",sr_legacy_food,80.0,1.82,0.75,17.77,ginger,exact
Celery,169988,"Celery, raw",sr_legacy_food,14.0,0.69,0.17,2.97,celery,exact
Bell pepper,2194448,"ASIAN-STYLE VEGETABLES & RICE FRESH STEAM MUKIMAME, WHITE LONG GRAIN RICE, CARROTS, RED BELL PEPPERS. MUSHROOMS & WILD RICE WITH TERIYAKI SAUCE, ASIAN-STYLE VEGETABLES & RICE",branded_food,82.0,4.55,1.82,11.82,bell pepper,exact
Green pepper,1479599,CHICKEN SAUSAGE WITH FRESH RED AND GREEN PEPPERS,branded_food,153.0,16.47,8.24,2.35,green pepper,exact
Red pepper,1405418,"A SPICY YEMENI STYLE ZHOUG SALSA FEATURING PIQUANT JALAPENO PEPPERS AND RED PEPPER, HEIGHTENED BY REFRESHING CITRUS NOTES OF CILANTRO",branded_food,50.0,0.0,0.0,10.0,red pepper,exact
Chili pepper,1660408,"CHILI PEPPER COVERED ARTIFICIALLY FLAVORED GUMMY, STRAWBERRY",branded_food,367.0,0.0,0.0,90.0,chili pepper,exact
Potato,170026,"Potatoes, flesh and skin, raw",sr_legacy_food,77.0,2.05,0.09,17.49,potato,exact
Sweet potato,169303,"Sweet potato leaves, raw",sr_legacy_food,42.0,2.49,0.51,8.82,sweet potato,exact
Yam,168432,"Mountain yam, hawaii, raw",sr_legacy_food,67.0,1.34,0.1,16.3,yam,exact
Pumpkin,175151,"Fish, sunfish, pumpkin seed, raw",sr_legacy_food,89.0,19.4,0.7,0.0,pumpkin,exact
Zucchini,169291,"Squash, summer, zucchini, includes skin, raw",sr_legacy_food,17.0,1.21,0.32,3.11,zucchini,exact
Cucumber,169225,"Cucumber, peeled, raw",sr_legacy_food,10.0,0.59,0.16,2.16,cucumber,exact
Eggplant,169228,"Eggplant, raw",sr_legacy_food,25.0,0.98,0.18,5.88,eggplant,exact
Okra,169260,"Okra, raw",sr_legacy_food,33.0,1.93,0.19,7.45,okra,exact
Pea,168391,"Balsam-pear (bitter gourd), leafy tips, raw",sr_legacy_food,30.0,5.3,0.69,3.29,pea,exact
Snow pea,510656,"FRESH GARDEN STIR FRY, CARROTS, BROCCOLI & SNOW PEAS",branded_food,35.0,2.35,0.0,7.06,snow pea,exact
Green bean,2709860,"Green beans, fresh, cooked with butter or margarine",survey_fndds_food,61.0,2.0,2.56,7.48,green bean,exact
String bean,2710009,"Bean salad, yellow and/or green string beans",survey_fndds_food,109.0,3.52,5.0,13.0,string bean,exact
Bitter melon,2709878,"Bitter melon, cooked",survey_fndds_food,41.0,0.82,2.72,4.19,bitter melon,exact
Bottle gourd,2330782,17OZ BOTTLE KIWI STRAWBERRY FROST,branded_food,2.0,0.0,0.0,0.39,bottle,partial
Winter melon,2710004,"Winter melon, cooked",survey_fndds_food,36.0,0.4,2.74,2.95,winter melon,exact
Tomato,170456,"Tomatoes, green, raw",sr_legacy_food,23.0,1.2,0.2,5.1,tomato,exact
Cherry tomato,1999223,"ANTIOXIDANT FRESH SPINACH, RED QUINOA, CHERRY TOMATOES, DRIED CRANBERRIES, CRISPY KALE, ORANGE CARROTS, RED CABBAGE, AND ROASTED PECANS WITH BLUEBERRY VINAIGRETTE POWER SALAD, ANTIOXIDANT",branded_food,149.0,2.6,6.69,19.7,cherry tomato,exact
Corn,170199,"Beef, cured, corned beef, brisket, raw",sr_legacy_food,198.0,14.68,14.9,0.14,corn,exact
Baby corn,1505642,"GREEN FRESH, BABY CORN NUGGETS",branded_food,19.0,1.54,0.0,3.08,baby corn,exact
Artichoke,169205,"Artichokes, (globe or french), raw",sr_legacy_food,47.0,3.27,0.15,10.51,artichoke,exact
Asparagus,168389,"Asparagus, raw",sr_legacy_food,20.0,2.2,0.12,3.88,asparagus,exact
Mushroom,169376,"Mushroom, white, exposed to ultraviolet light, raw",sr_legacy_food,22.0,3.09,0.34,3.26,mushroom,exact
Shiitake,169242,"Mushrooms, shiitake, raw",sr_legacy_food,34.0,2.24,0.49,6.79,shiitake,exact
Enoki mushroom,475604,ENOKI MUSHROOM,branded_food,38.0,2.5,0.0,5.3,enoki mushroom,exact
Oyster mushroom,404742,"DRAGONFLY, WHOLE IN SALT WATER OYSTER MUSHROOM",branded_food,11.0,0.91,0.0,1.82,oyster mushroom,exact
Portobello mushroom,357220,"HARRIS TEETER, FRESH FOODS MARKET, PORTOBELLO MUSHROOM & CHEESE TORTELLONI",branded_food,282.0,10.0,4.55,51.82,portobello mushroom,exact
King oyster mushroom,1888648,DRIED KING OYSTER MUSHROOM,branded_food,320.0,15.0,0.0,65.0,king oyster mushroom,exact
Lotus root,169250,"Lotus root, raw",sr_legacy_food,74.0,2.6,0.1,17.23,lotus root,exact
Bamboo shoot,169210,"Bamboo shoots, raw",sr_legacy_food,27.0,2.6,0.3,5.2,bamboo shoot,exact
Bean sprout,2709768,"Bean sprouts, raw",survey_fndds_food,30.0,3.04,0.18,5.94,bean sprout,exact
Watercress,170068,"Watercress, raw",sr_legacy_food,11.0,2.3,0.1,1.29,watercress,exact
Arugula,169387,"Arugula, raw",sr_legacy_food,25.0,2.58,0.66,3.65,arugula,exact
Endive,168412,"Endive, raw",sr_legacy_food,17.0,1.25,0.2,3.35,endive,exact
Fennel,169385,"Fennel, bulb, raw",sr_legacy_food,31.0,1.24,0.2,7.3,fennel,exact
Radicchio,168564,"Radicchio, raw",sr_legacy_food,23.0,1.43,0.25,4.48,radicchio,exact
Mustard greens,169256,"Mustard greens, raw",sr_legacy_food,27.0,2.86,0.42,4.67,mustard greens,exact
Collard greens,1566307,POWER GREENS FRESH COLLARD GREENS,branded_food,41.0,3.53,0.59,5.88,collard greens,exact
Chard,169991,"Chard, swiss, raw",sr_legacy_food,19.0,1.8,0.2,3.74,chard,exact
Bok choy,1616874,"FRESHLY FROZEN STIR FRY FOR CHOW MEIN WITH NOODLES, BEAN SPROUTS, BOK CHOY, CELERY, CARROTS, ONIONS, MUSHROOMS, PEAS, WATER CHESTNUTS, BAMBOO SHOOTS & RED PEPPERS, STIR FRY FOR CHOW MEIN",branded_food,47.0,1.89,0.0,8.49,bok choy,exact
Napa cabbage,1376879,"A BLEND OF BROCCOLI STEMS, NAPA CABBAGE, CARROTS, KOHLRABI, AND SUGAR SNAP PEAS WITH INDIVIDUAL PACKET OF COOKED BROWN RICE AND SESAME SRIRACHA SAUCE, SESAME SRIRACHA",branded_food,100.0,2.06,4.41,13.82,napa cabbage,exact
Water spinach,174184,"Fish, bass, fresh water, mixed species, raw",sr_legacy_food,114.0,18.86,3.69,0.0,water,partial
Amaranth leaves,168385,"Amaranth leaves, raw",sr_legacy_food,23.0,2.46,0.33,4.02,amaranth leaves,exact
Mizuna,1744719,"SUPER GREENS ORGANIC TENDER TASTE OF BABY SPINACH, NATURALLY FRESH MIZUNA, BABY CHARD WITH BABY KALE BLEND, SUPER GREENS",branded_food,35.0,3.53,0.0,4.71,mizuna,exact
Dandelion greens,169226,"Dandelion greens, raw",sr_legacy_food,45.0,2.7,0.7,9.2,dandelion greens,exact
Celtuce,169990,"Celtuce, raw",sr_legacy_food,18.0,0.85,0.3,3.65,celtuce,exact
Parsley,170416,"Parsley, fresh",sr_legacy_food,36.0,2.97,0.79,6.33,parsley,exact
Cilantro,169997,"Coriander (cilantro) leaves, raw",sr_legacy_food,23.0,2.13,0.52,3.67,cilantro,exact
Basil,172232,"Basil, fresh",sr_legacy_food,23.0,3.15,0.64,2.65,basil,exact
Mint,173474,"Peppermint, fresh",sr_legacy_food,70.0,3.75,0.94,14.89,mint,exact
Rosemary,173473,"Rosemary, fresh",sr_legacy_food,131.0,3.31,5.86,20.7,rosemary,exact
Thyme,173470,"Thyme, fresh",sr_legacy_food,101.0,5.56,1.68,24.45,thyme,exact
Oregano,2301898,"BLACK OLIVE & OREGANO MEDITERRANEAN FRESH HUMMUS, BLACK OLIVE & OREGANO",branded_food,246.0,5.26,17.54,0.0,oregano,exact
Sage,171631,"Sausage, Italian, pork, mild, raw",sr_legacy_food,290.0,13.9,24.26,2.97,sage,exact
